House 1,House 2,House 3,House 4,House 5,House 6,House 7,House 8,House 9,House 10,House 11,House 12
Mars,Ketu,Venus,Sun,Mercury,,,Moon Rahu,Saturn,Jupiter,,
Mars Ketu,,Venus,Sun Mercury,,,Moon Rahu,,Jupiter Saturn,,,
Ketu,,Sun Venus,Mercury,,,Moon Rahu,Saturn,Jupiter,,,Mars
,Venus,Sun Mercury,,,Moon Rahu,,Jupiter Saturn,,,,Mars Ketu
,Sun Venus,Mercury,,,Moon Rahu,Saturn,Jupiter,,,Mars,Ketu
Venus,Sun Mercury,,,Rahu,Moon,Saturn,Jupiter,,,Mars Ketu,
Sun Venus,Mercury,,,Moon Rahu,Saturn,Jupiter,,,Mars,Ketu,
Sun Mercury,,,Rahu,Moon,Saturn,Jupiter,,,Mars Ketu,,Venus
Mercury,,,Moon Rahu,,Jupiter Saturn,,,Mars,Ketu,,Sun Venus
,,Rahu,Moon,Saturn,Jupiter,,,Mars Ketu,,Venus,Sun Mercury
,,Moon Rahu,Saturn,Jupiter,,,Mars,Ketu,,Sun Venus,Mercury
,Moon Rahu,,Jupiter Saturn,,,,Mars Ketu,,Venus,Sun Mercury,
Rahu,Moon,Jupiter Saturn,,,,Mars Ketu,,Venus,Sun Mercury,,
Moon Rahu,Saturn,Jupiter,,,Mars,Ketu,,Sun Venus,Mercury,,
,Jupiter Saturn,,,,Mars Ketu,,Venus,Sun Mercury,,,Moon Rahu
Saturn,Jupiter,,,Mars,Ketu,Venus,Sun,Mercury,,,Moon Rahu
Jupiter Saturn,,,Mars,Ketu,,Venus,Sun Mercury,,,Moon Rahu,
Jupiter,,,Mars,Ketu,,Sun Venus,Mercury,,,Moon Rahu,Saturn
,,,Mars Ketu,,Venus,Sun Mercury,,,Rahu,Moon,Jupiter Saturn
,,Mars,Ketu,,Sun Venus,Mercury,,,Moon Rahu,Saturn,Jupiter
,,Mars Ketu,,Venus,Sun Mercury,,,Rahu,Moon,Jupiter Saturn,
,Mars,Ketu,,Sun Venus,Mercury,,,Moon Rahu,Saturn,Jupiter,
,Mars Ketu,,Venus,Sun Mercury,,,Rahu,Moon,Saturn,Jupiter,
Mars,Ketu,,Venus,Sun Mercury,,,Rahu,Moon,Jupiter Saturn,,
Mars,Ketu,Venus,Sun,Mercury,,,Moon Rahu,Saturn,Jupiter,,
Mars Ketu,,Venus,Sun Mercury,,,Rahu,Moon,Jupiter Saturn,,,
Ketu,,Sun Venus,Mercury,,,Moon Rahu,Saturn,Jupiter,,,Mars
,Venus,Sun Mercury,,,Rahu,Moon,Jupiter Saturn,,,,Mars Ketu
,Sun Venus,Mercury,,,Moon Rahu,Saturn,Jupiter,,,Mars,Ketu
Venus,Sun Mercury,,,Rahu,Moon,Jupiter Saturn,,,,Mars Ketu,
Sun Venus,Mercury,,,Rahu,Moon Saturn,Jupiter,,,Mars,Ketu,
Sun Mercury,,,Rahu,Moon,Saturn,Jupiter,,,Mars Ketu,,Venus
Mercury,,,Rahu,Moon Saturn,Jupiter,,,Mars,Ketu,,Sun Venus
,,Rahu,Moon,Jupiter Saturn,,,,Mars Ketu,,Venus,Sun Mercury
,,Moon Rahu,Saturn,Jupiter,,,Mars,Ketu,,Sun Venus,Mercury
,Rahu,Moon,Jupiter Saturn,,,Mars,Ketu,,Venus,Sun Mercury,
Rahu,Moon,Jupiter Saturn,,,,Mars Ketu,,Venus,Sun Mercury,,
Moon Rahu,Saturn,Jupiter,,,Mars,Ketu,,Sun Venus,Mercury,,
